Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1742933530929,2801,2801,2801,2801,2801,2801,2801,2801,100,100,100,100,100,100,100,100,16617.16973876953,180138.09466552734,152339.8627319336,1896.5933227539063,17024311296,2550136832,8169533440,0
200,1742933530929,2801,2801,2801,2801,2801,2801,2801,2801,100,100,100,100,100,100,100,100,16617.175720214844,180138.1626586914,152339.9281616211,1896.5933227539063,17024311296,2550136832,8169250816,0
200,1742933531130,2801,2801,2801,2801,2801,2801,2801,2801,6.48565673828125,5.848426818847656,8.368415832519531,5.561798095703125,5.096748352050781,5.188507080078125,6.070228576660156,5.5333404541015625,16617.286499023438,180138.4822998047,152340.12591552734,1896.60205078125,17024311296,2550136832,8169578496,0
200,1742933531330,2801,2801,2801,2801,2801,2801,2801,2801,0.36096954345703125,1.0006256103515625,1.5191726684570313,0.3854217529296875,2.7841033935546875,0.3516082763671875,0.4669952392578125,0.345428466796875,16617.390258789063,180138.67895507813,152340.22845458984,1896.60205078125,17024311296,2550136832,8169578496,0
200,1742933531531,2801,2801,2801,2801,2801,2801,2801,2801,1.840576171875,6.851356506347656,3.944915771484375,0,0.5187835693359375,0,0,97.66908264160156,16617.763549804688,180141.474609375,152342.65533447266,1896.6421508789063,17024311296,2550136832,7896465408,0
200,1742933531731,2801,2801,2801,2801,2801,2801,2801,2801,4.041069030761719,1.7514419555664063,38.96778869628906,1.0971603393554688,41.960105895996094,0.7118606567382813,4.653434753417969,23.67638397216797,16617.918518066406,180144.22430419922,152345.13555908203,1896.7164306640625,17024311296,2550136832,7851864064,0
200,1742933531932,2801,2801,2801,2801,2801,2801,2801,2801,1.4918899536132813,0.633880615234375,1.6839752197265625,0.25405120849609375,68.96726989746094,31.072166442871094,3.7960357666015625,0.6001739501953125,16618.2060546875,180146.9711303711,152347.5401611328,1896.7686157226563,17024311296,2550136832,8007589888,0
200,1742933532132,2801,2801,2801,2801,2801,2801,2801,2801,0.9825668334960938,1.2237091064453125,1.5246734619140625,0.7814559936523438,0.3453826904296875,100,3.6724166870117188,1.2428970336914063,16618.513549804688,180149.76361083984,152350.02166748047,1896.7686157226563,17024311296,2550136832,8243867648,0
200,1742933532333,2801,2801,2801,2801,2801,2801,2801,2801,8.178291320800781,0.605133056640625,1.2400741577148438,0.755889892578125,0.05124664306640625,100,3.3624191284179688,0.10923004150390625,16618.684143066406,180152.79357910156,152352.78887939453,1896.7686157226563,17024311296,2550136832,8234246144,0
199,1742933532534,2801,2801,2801,2801,2801,2801,2801,2801,0.8137130737304688,48.657920837402344,43.74817657470703,6.3114471435546875,0.46849822998046875,100,1.0299530029296875,3.1082229614257813,16618.85174560547,180156.63842773438,152356.39404296875,1896.7686157226563,17024311296,2550136832,8232427520,0
200,1742933532734,2801,2801,2801,2801,2801,2801,2801,2801,4.133415222167969,22.582656860351563,18.139175415039063,65.725341796875,11.711746215820313,38.281982421875,1.5975112915039063,0.8849716186523438,16619.024536132813,180160.08959960938,152359.6358642578,1896.77685546875,17024311296,2550136832,8242094080,0
200,1742933532934,2801,2801,2801,2801,2801,2801,2801,2801,0.2050018310546875,1.254638671875,0.11391448974609375,100,1.1441116333007813,0.11461639404296875,2.6286697387695313,0.2020111083984375,16619.186157226563,180162.91033935547,152362.2752685547,1896.77685546875,17024311296,2550136832,8248762368,0
200,1742933533135,2801,2801,2801,2801,2801,2801,2801,2801,3.9899978637695313,2.8162078857421875,0.17733001708984375,100,1.2901535034179688,0.28894805908203125,0.38631439208984375,0.1418304443359375,16619.354553222656,180165.71252441406,152364.88458251953,1896.77685546875,17024311296,2550136832,8258899968,0
200,1742933533335,2801,2801,2801,2801,2801,2801,2801,2801,0.8566970825195313,2.0046310424804688,0.09880828857421875,100,3.8196258544921875,0.42360687255859375,0.30002593994140625,0.47934722900390625,16619.52117919922,180168.51727294922,152367.48223876953,1896.7807006835938,17024311296,2550136832,8269242368,0
200,1742933533536,2801,2801,2801,2801,2801,2801,2801,2801,2.8374099731445313,2.1622314453125,0.191192626953125,100,1.3449172973632813,0.23181915283203125,0.33287811279296875,0.14398193359375,16619.68914794922,180171.35845947266,152370.07403564453,1896.7807006835938,17024311296,2550136832,8279433216,0
200,1742933533737,2801,2801,2801,2801,2801,2801,2801,2801,0.8251419067382813,2.11517333984375,0.1751861572265625,100,1.2700424194335938,0.8326187133789063,2.636505126953125,0.46773529052734375,16619.857055664063,180174.19006347656,152372.67657470703,1896.78466796875,17024311296,2550136832,8289853440,0
200,1742933533937,2801,2801,2801,2801,2801,2801,2801,2801,2.7834548950195313,2.38262939453125,0.14856719970703125,100,1.1920166015625,0.26682281494140625,0.24987030029296875,0.5745162963867188,16620.026977539063,180176.98345947266,152375.2735595703,1896.78466796875,17024311296,2550136832,8300077056,0
200,1742933534138,2801,2801,2801,2801,2801,2801,2801,2801,0.7161026000976563,1.5830078125,0.11591339111328125,100,1.2040176391601563,0.671630859375,3.4477920532226563,0.22548675537109375,16620.188537597656,180179.78576660156,152377.8871459961,1896.78466796875,17024311296,2550136832,8310845440,0
200,1742933534338,2801,2801,2801,2801,2801,2801,2801,2801,2.8567657470703125,3.5086135864257813,0.2027435302734375,100,1.3880157470703125,0.43310546875,0.2001495361328125,0.4631195068359375,16620.37091064453,180182.5743408203,152380.46710205078,1896.788330078125,17024311296,2550136832,8318820352,0
200,1742933534539,2801,2801,2801,2801,2801,2801,2801,2801,0.2822265625,0.3134307861328125,0.14896392822265625,100,3.6564559936523438,0.16107940673828125,0.29708099365234375,0.192535400390625,16620.497924804688,180185.28521728516,152382.99475097656,1896.788330078125,17024311296,2550136832,8321265664,0
200,1742933534739,2801,2801,2801,2801,2801,2801,2801,2801,3.2407379150390625,0.32550048828125,0.12992095947265625,100,1.534423828125,0.07024383544921875,0.2109832763671875,0.08530426025390625,16620.645263671875,180188.05334472656,152385.6010131836,1896.788330078125,17024311296,2550136832,8376512512,0
200,1742933534940,2801,2801,2801,2801,2801,2801,2801,2801,0.2570953369140625,3.6723098754882813,0.08530426025390625,100,3.7059097290039063,0.5320968627929688,0.393798828125,0.5057220458984375,16620.836303710938,180190.97625732422,152388.22052001953,1896.791259765625,17024311296,2550136832,8347000832,0
200,1742933535141,2801,2801,2801,2801,2801,2801,2801,2801,1.30328369140625,3.500701904296875,0.1048431396484375,100,1.5779800415039063,2.5833892822265625,20.8890380859375,0.5365753173828125,16621.030517578125,180194.0502319336,152391.06060791016,1896.791259765625,17024311296,2550136832,8426164224,0
200,1742933535341,2801,2801,2801,2801,2801,2801,2801,2801,0.8656158447265625,5.891700744628906,0.20587921142578125,100,1.3145217895507813,0.7759628295898438,0.33393096923828125,0.4936370849609375,16621.221618652344,180196.8780517578,152393.68505859375,1896.7952880859375,17024311296,2550136832,8519127040,0
200,1742933535542,2801,2801,2801,2801,2801,2801,2801,2801,0.5018234252929688,2.2648696899414063,0.0380859375,100,1.2655181884765625,0.07647705078125,2.4982376098632813,0.6251602172851563,16621.411743164063,180199.71508789063,152396.30279541016,1896.7952880859375,17024311296,2550136832,8649977856,0
200,1742933535742,2801,2801,2801,2801,2801,2801,2801,2801,0.64166259765625,4.518562316894531,0.33242034912109375,100,1.4175338745117188,0.17414093017578125,2.734710693359375,0.5858306884765625,16621.60577392578,180202.5775756836,152398.92346191406,1896.7952880859375,17024311296,2550136832,8691101696,0
200,1742933535943,2801,2801,2801,2801,2801,2801,2801,2801,2.777252197265625,2.0796051025390625,0.18425750732421875,100,1.5133590698242188,0.3414459228515625,0.4261474609375,1.0443878173828125,16621.868103027344,180205.43072509766,152401.43884277344,1896.7987670898438,17024311296,2550136832,8771063808,0
200,1742933536144,2801,2801,2801,2801,2801,2801,2801,2801,1.2811279296875,0.37435150146484375,0.08355712890625,100,3.7714462280273438,0.07427978515625,0.22737884521484375,0.396087646484375,16622.10089111328,180208.3814086914,152404.13134765625,1896.7987670898438,17024311296,2550136832,8771059712,0
200,1742933536344,2801,2801,2801,2801,2801,2801,2801,2801,0.40515899658203125,0.7629165649414063,0.2380523681640625,100,1.4287643432617188,0.33686065673828125,3.0342559814453125,0.2999725341796875,16622.2470703125,180211.23907470703,152406.74249267578,1896.8011474609375,17024311296,2550136832,8798699520,0
200,1742933536545,2801,2801,2801,2801,2801,2801,2801,2801,2.7045440673828125,0.5463027954101563,0.177032470703125,100,1.2769699096679688,0.42999267578125,0.2919464111328125,1.8990478515625,16622.379150390625,180214.14331054688,152409.365234375,1896.803466796875,17024311296,2550136832,8826961920,0
200,1742933536745,2801,2801,2801,2801,2801,2801,2801,2801,1.8612136840820313,0.4053192138671875,0.13311004638671875,100,3.5606918334960938,0.112518310546875,0.2371063232421875,0.5522842407226563,16622.50653076172,180216.94366455078,152411.98559570313,1896.803466796875,17024311296,2550136832,8849125376,0
200,1742933536946,2801,2801,2801,2801,2801,2801,2801,2801,0.36269378662109375,0.4183807373046875,0.3001251220703125,100,3.6711273193359375,0.51220703125,0.29872894287109375,0.5057220458984375,16622.63787841797,180219.74194335938,152414.58837890625,1896.80908203125,17024311296,2550136832,8869806080,0
200,1742933537146,2801,2801,2801,2801,2801,2801,2801,2801,3.8620529174804688,0.45960235595703125,0.1222381591796875,100,1.2424468994140625,0.2029571533203125,0.30255889892578125,0.58453369140625,16622.76580810547,180222.53448486328,152417.208984375,1896.80908203125,17024311296,2550136832,8897736704,0
200,1742933537347,2801,2801,2801,2801,2801,2801,2801,2801,2.705596923828125,0.40431976318359375,0.22229766845703125,100,1.2532424926757813,0.2371063232421875,0.32928466796875,0.149566650390625,16622.89483642578,180225.32525634766,152419.82446289063,1896.80908203125,17024311296,2550136832,8920158208,0
200,1742933537548,2801,2801,2801,2801,2801,2801,2801,2801,2.9031906127929688,0.5603561401367188,0.15773773193359375,100,1.5411300659179688,0.45965576171875,0.7080230712890625,0.49200439453125,16623.02685546875,180228.1737060547,152422.43585205078,1896.814208984375,17024311296,2550136832,8940871680,0
200,1742933537748,2801,2801,2801,2801,2801,2801,2801,2801,1.7085952758789063,0.3844757080078125,3.0623779296875,100,1.7576980590820313,0.1296234130859375,0.23276519775390625,0.13874053955078125,16623.153869628906,180230.95568847656,152425.0366821289,1896.814208984375,17024311296,2550136832,8968585216,0
200,1742933537949,2801,2801,2801,2801,2801,2801,2801,2801,0.49170684814453125,0.5784530639648438,0.20664215087890625,100,3.8461380004882813,0.29294586181640625,0.33536529541015625,0.908538818359375,16623.284606933594,180233.75457763672,152427.6502685547,1896.8190307617188,17024311296,2550136832,8991563776,0
200,1742933538149,2801,2801,2801,2801,2801,2801,2801,2801,1.4779815673828125,0.5560760498046875,0.14353179931640625,100,3.6588058471679688,0.19019317626953125,0.6101150512695313,0.36792755126953125,16623.41375732422,180236.55975341797,152430.27178955078,1896.8190307617188,17024311296,2550136832,9012068352,0
200,1742933538350,2801,2801,2801,2801,2801,2801,2801,2801,2.7045059204101563,0.5932159423828125,0.1488189697265625,100,1.2627182006835938,0.1858062744140625,0.31273651123046875,0.17409515380859375,16623.54266357422,180239.34509277344,152432.88208007813,1896.8190307617188,17024311296,2550136832,9039642624,0
200,1742933538551,2801,2801,2801,2801,2801,2801,2801,2801,1.1762161254882813,0.49410247802734375,0.14557647705078125,100,1.3185958862304688,0.5031280517578125,2.7813262939453125,0.5190353393554688,16623.672302246094,180242.12829589844,152435.48553466797,1896.8236083984375,17024311296,2550136832,9062481920,0
200,1742933538751,2801,2801,2801,2801,2801,2801,2801,2801,3.4441146850585938,0.33791351318359375,0.1902923583984375,100,1.5231399536132813,0.18456268310546875,0.21202850341796875,0.18834686279296875,16623.801635742188,180244.92333984375,152438.09210205078,1896.8236083984375,17024311296,2550136832,9083498496,0
200,1742933538952,2801,2801,2801,2801,2801,2801,2801,2801,0,20.622230529785156,27.265579223632813,72.61380004882813,3.6833724975585938,0,0,0,16624.069885253906,180247.8110961914,152440.69549560547,1896.8236083984375,17024311296,2550136832,8778334208,0
200,1742933539152,2801,2801,2801,2801,2801,2801,2801,2801,1.4476547241210938,12.980979919433594,100,0.3477325439453125,4.12689208984375,1.5783233642578125,0.576507568359375,0.9253387451171875,16624.428833007813,180250.61712646484,152443.15447998047,1896.8276977539063,17024311296,2550136832,8643002368,0
200,1742933539353,2801,2801,2801,2801,2801,2801,2801,2801,0.28665924072265625,13.794097900390625,100,0.23346710205078125,1.339385986328125,0.36712646484375,2.7872085571289063,0.2296295166015625,16624.7724609375,180253.43646240234,152445.6719970703,1896.8276977539063,17024311296,2550136832,8168386560,0
200,1742933539553,2801,2801,2801,2801,2801,2801,2801,2801,0.31707000732421875,2.2051544189453125,100,0.16312408447265625,1.2276611328125,0.4447479248046875,2.7413864135742188,0.374053955078125,16624.91094970703,180256.23852539063,152448.29638671875,1896.83251953125,17024311296,2550136832,8179855360,0
200,1742933539754,2801,2801,2801,2801,2801,2801,2801,2801,3.1512908935546875,2.4277572631835938,100,0.08016204833984375,1.247802734375,0.2024078369140625,0.1710968017578125,0.48767852783203125,16625.055053710938,180259.0687866211,152450.91467285156,1896.83251953125,17024311296,2550136832,8191258624,0
200,1742933539955,2801,2801,2801,2801,2801,2801,2801,2801,2.7553634643554688,2.302398681640625,100,0.11545562744140625,1.1762237548828125,0.18595123291015625,0.18878936767578125,0.61279296875,16625.197509765625,180261.8787841797,152453.53637695313,1896.83251953125,17024311296,2550136832,8202727424,0
200,1742933540155,2801,2801,2801,2801,2801,2801,2801,2801,3.6198806762695313,2.3529510498046875,100,0.14861297607421875,1.3197784423828125,1.144744873046875,0.35959625244140625,0.964569091796875,16625.33905029297,180264.70928955078,152456.1743774414,1896.8372192382813,17024311296,2550136832,8214196224,0
200,1742933540356,2801,2801,2801,2801,2801,2801,2801,2801,0.2066497802734375,2.68231201171875,100,0.33437347412109375,3.6988906860351563,0.14707183837890625,0.27858734130859375,0.11391448974609375,16625.485412597656,180267.58642578125,152458.79510498047,1896.8372192382813,17024311296,2550136832,8225382400,0
200,1742933540556,2801,2801,2801,2801,2801,2801,2801,2801,2.741668701171875,1.6305770874023438,100,0.14282989501953125,1.1916580200195313,0.23905181884765625,0.16745758056640625,0.08669281005859375,16625.616577148438,180270.45275878906,152461.42584228516,1896.8372192382813,17024311296,2550136832,8237244416,0
200,1742933540757,2801,2801,2801,2801,2801,2801,2801,2801,0.9168701171875,2.19110107421875,100,0.7301712036132813,1.1852874755859375,0.6818084716796875,2.7030105590820313,0.49047088623046875,16625.7626953125,180273.29119873047,152463.97045898438,1896.8419799804688,17024311296,2550136832,8240914432,0
199,1742933540958,2801,2801,2801,2801,2801,2801,2801,2801,2.5736846923828125,0.3689727783203125,100,0.164520263671875,1.1473464965820313,0.09726715087890625,0.23685455322265625,0.0579833984375,16625.90216064453,180276.10034179688,152466.5301513672,1896.8419799804688,17024311296,2550136832,8273485824,0
200,1742933541158,2801,2801,2801,2801,2801,2801,2801,2801,3.4755935668945313,3.2096710205078125,100,0.08110809326171875,2.7256011962890625,0.7829742431640625,3.9212265014648438,0.43064117431640625,16626.15447998047,180278.89392089844,152469.06970214844,1896.8468017578125,17024311296,2550136832,8343752704,0
200,1742933541358,2801,2801,2801,2801,2801,2801,2801,2801,2.8232955932617188,3.7875747680664063,100,0.2292327880859375,1.3759765625,0.32988739013671875,0.3063507080078125,0.26532745361328125,16626.335205078125,180281.6357421875,152471.6043701172,1896.8468017578125,17024311296,2550136832,8318365696,0
200,1742933541559,2801,2801,2801,2801,2801,2801,2801,2801,18.68994140625,2.8610153198242188,100,0.20455169677734375,5.50018310546875,7.413627624511719,8.625778198242188,3.0746383666992188,16626.490112304688,180284.66381835938,152474.4517211914,1896.8468017578125,17024311296,2550136832,8345645056,0
200,1742933541759,2801,2801,2801,2801,2801,2801,2801,2801,3.7009429931640625,3.5640487670898438,99.95732879638672,0.10614013671875,2.3045425415039063,0.6195831298828125,2.1195297241210938,1.5524444580078125,16626.696166992188,180287.54913330078,152477.05535888672,1896.8510131835938,17024311296,2550136832,8408174592,0
200,1742933541960,2801,2801,2801,2801,2801,2801,2801,2801,0.174835205078125,0.39075469970703125,100,0.17992401123046875,1.266937255859375,0.22130584716796875,2.5804443359375,0.6407241821289063,16626.907470703125,180290.4122314453,152479.62713623047,1896.8510131835938,17024311296,2550136832,8414466048,0
200,1742933542161,2801,2801,2801,2801,2801,2801,2801,2801,4.062705993652344,0.9027557373046875,100,0.34294891357421875,1.8190765380859375,0.5756683349609375,0.6989059448242188,1.1086578369140625,16627.20538330078,180293.18017578125,152482.10382080078,1896.8534545898438,17024311296,2550136832,8494190592,0
200,1742933542361,2801,2801,2801,2801,2801,2801,2801,2801,2.7710189819335938,6.8229827880859375,100,0.460052490234375,1.2875213623046875,0.1600341796875,0.28296661376953125,0.4707183837890625,16627.38604736328,180296.00067138672,152484.7235107422,1896.8558959960938,17024311296,2550136832,8493821952,0
200,1742933542562,2801,2801,2801,2801,2801,2801,2801,2801,0.1885986328125,0.34618377685546875,100,0.1063385009765625,3.7120742797851563,0.06256866455078125,0.481292724609375,0.1658172607421875,16627.589965820313,180298.75463867188,152487.2816772461,1896.8558959960938,17024311296,2550136832,8493821952,0
200,1742933542762,2801,2801,2801,2801,2801,2801,2801,2801,0.8188095092773438,0.886810302734375,100,0.487945556640625,3.2248458862304688,0.44826507568359375,2.6508560180664063,0.5306167602539063,16627.83380126953,180301.5399169922,152489.85723876953,1896.85986328125,17024311296,2550136832,8494985216,0
200,1742933542963,2801,2801,2801,2801,2801,2801,2801,2801,0.679595947265625,0.5341720581054688,38.08332061767578,62.018428802490234,4.4349517822265625,0.1026458740234375,0.5339736938476563,0.09342193603515625,16627.990661621094,180304.3158569336,152492.42303466797,1896.85986328125,17024311296,2550136832,8494964736,0
200,1742933543164,2801,2801,2801,2801,2801,2801,2801,2801,1.4958038330078125,0.5596847534179688,0.5424880981445313,100,1.2849807739257813,0.1799163818359375,2.6623306274414063,0.122589111328125,16628.161376953125,180307.11254882813,152495.0043334961,1896.85986328125,17024311296,2550136832,8494981120,0
200,1742933543364,2801,2801,2801,2801,2801,2801,2801,2801,2.7809066772460938,0.5568313598632813,0.1309051513671875,100,1.4290618896484375,0.5009002685546875,0.39237213134765625,2.00299072265625,16628.34405517578,180309.89819335938,152497.58654785156,1896.8648681640625,17024311296,2550136832,8494981120,0
200,1742933543565,2801,2801,2801,2801,2801,2801,2801,2801,0.17856597900390625,0.393218994140625,0.03404998779296875,100,1.2361373901367188,0.1390838623046875,2.7425613403320313,0.0389862060546875,16628.51641845703,180312.6704711914,152500.1669921875,1896.8648681640625,17024311296,2550136832,8494981120,0
200,1742933543765,2801,2801,2801,2801,2801,2801,2801,2801,0.6304779052734375,0.41686248779296875,0.14008331298828125,100,1.8457260131835938,0.3431854248046875,2.5918655395507813,0.100555419921875,16628.68603515625,180315.41864013672,152502.74243164063,1896.86767578125,17024311296,2550136832,8494968832,0
200,1742933543966,2801,2801,2801,2801,2801,2801,2801,2801,2.7103500366210938,0.5266265869140625,0.1386871337890625,100,1.3200531005859375,0.26271820068359375,0.2700958251953125,0.9271316528320313,16628.90771484375,180318.21710205078,152505.30712890625,1896.8702392578125,17024311296,2550136832,8494968832,0
200,1742933544167,2801,2801,2801,2801,2801,2801,2801,2801,0.7900466918945313,0.50439453125,0.1700897216796875,100,1.2499237060546875,0.5511093139648438,3.4750900268554688,0.0569305419921875,16629.068359375,180320.9990234375,152507.9053955078,1896.8702392578125,17024311296,2550136832,8494977024,0
