Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1742932375594,2801,2801,2801,2801,2801,2801,2801,2801,100,100,100,100,100,100,100,100,15663.651916503906,168831.85906982422,142088.90478515625,1848.8196411132813,17024311296,2550136832,6101401600,0
200,1742932375594,2801,2801,2801,2801,2801,2801,2801,2801,100,100,100,100,100,100,100,100,15663.657897949219,168831.92413330078,142088.9672241211,1848.8196411132813,17024311296,2550136832,6101110784,0
199,1742932375795,2801,2801,2801,2801,2801,2801,2801,2801,5.229713439941406,4.602439880371094,7.871025085449219,4.661003112792969,4.675270080566406,4.677085876464844,6.573143005371094,4.7988128662109375,15663.767578125,168832.20678710938,142089.1494140625,1848.82958984375,17024311296,2550136832,6101106688,0
200,1742932375995,2801,2801,2801,2801,2801,2801,2801,2801,0.4557647705078125,0.09265899658203125,5.210411071777344,0,2.2125244140625,0,1.6342926025390625,0.19844818115234375,15663.885192871094,168832.55053710938,142089.36395263672,1848.8631591796875,17024311296,2550136832,6101127168,0
200,1742932376196,2801,2801,2801,2801,2801,2801,2801,2801,2.604339599609375,0.7965621948242188,98.885009765625,4.154754638671875,3.42059326171875,0.6975173950195313,3.1764907836914063,0.9936141967773438,15664.046569824219,168835.30615234375,142091.83459472656,1848.9345092773438,17024311296,2550136832,6104731648,0
200,1742932376396,2801,2801,2801,2801,2801,2801,2801,2801,8.801902770996094,4.780113220214844,99.46736145019531,0.5641403198242188,1.3382720947265625,0.5286941528320313,1.8630752563476563,0.8131103515625,15664.354675292969,168838.04229736328,142094.25897216797,1848.9682006835938,17024311296,2550136832,6262317056,0
200,1742932376597,2801,2801,2801,2801,2801,2801,2801,2801,1.2467498779296875,0.1455230712890625,100,0.1222381591796875,0.120849609375,0.19881439208984375,2.97174072265625,0.205596923828125,15664.565795898438,168840.82250976563,142096.82318115234,1848.9682006835938,17024311296,2550136832,6268608512,0
200,1742932376797,2801,2801,2801,2801,2801,2801,2801,2801,11.888099670410156,0.9058456420898438,100,0.08609771728515625,0.5187301635742188,0.0317535400390625,1.141754150390625,0.11037445068359375,15664.785522460938,168843.68420410156,142099.47088623047,1848.9682006835938,17024311296,2550136832,6265679872,0
200,1742932376998,2801,2801,2801,2801,2801,2801,2801,2801,0.043670654296875,0.1509552001953125,10.568466186523438,0,93.18640899658203,0.6508865356445313,0.20175933837890625,0,15665.049926757813,168846.40869140625,142101.93353271484,1848.9682006835938,17024311296,2550136832,6312120320,0
200,1742932377199,2801,2801,2801,2801,2801,2801,2801,2801,4.032096862792969,0.843780517578125,31.783157348632813,0.4329833984375,70.60081481933594,0.5674362182617188,0.8209991455078125,0.5194320678710938,15665.322692871094,168849.2296142578,142104.49572753906,1848.9682006835938,17024311296,2550136832,6429319168,0
