Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1742931357361,2801,2801,2801,2801,2801,2801,2801,2801,100,100,100,100,100,100,100,100,14812.466735839844,158615.51092529297,132809.24212646484,1807.5253295898438,17024311296,2550136832,7983771648,0
200,1742931357361,2801,2801,2801,2801,2801,2801,2801,2801,100,100,100,100,100,100,100,100,14812.472839355469,158615.57989501953,132809.30712890625,1807.5253295898438,17024311296,2550136832,7983517696,0
200,1742931357562,2801,2801,2801,2801,2801,2801,2801,2801,5.435569763183594,5.088005065917969,6.274604797363281,5.0274200439453125,5.6795196533203125,5.314697265625,8.8448486328125,5.3879547119140625,14812.582153320313,158615.8770751953,132809.48614501953,1807.535400390625,17024311296,2550136832,7983489024,0
200,1742931357763,2801,2801,2801,2801,2801,2801,2801,2801,3.873565673828125,0.507049560546875,3.7328414916992188,4.555206298828125,0.9628372192382813,0.4773101806640625,0.5465469360351563,0.34954071044921875,14812.686767578125,158616.1724243164,132809.68035888672,1807.535400390625,17024311296,2550136832,7983489024,0
199,1742931357963,2801,2801,2801,2801,2801,2801,2801,2801,1.295806884765625,6.957550048828125,96.58992767333984,0.21858978271484375,2.0531997680664063,0.8252487182617188,0.962310791015625,3.3747940063476563,14813.056762695313,158618.87982177734,132812.03314208984,1807.56787109375,17024311296,2550136832,7665733632,0
199,1742931358163,2801,2801,2801,2801,2801,2801,2801,2801,1.3500289916992188,0.756500244140625,99.2873306274414,0,2.99761962890625,0.325103759765625,2.8703765869140625,1.2579727172851563,14813.287780761719,158621.71881103516,132814.4610595703,1807.683349609375,17024311296,2550136832,7744643072,0
200,1742931358363,2801,2801,2801,2801,2801,2801,2801,2801,4.138511657714844,0.9681472778320313,100,0.7607040405273438,7.210906982421875,0.6627273559570313,1.8357162475585938,0.6979141235351563,14813.566223144531,158624.5693359375,132816.98559570313,1807.683349609375,17024311296,2550136832,7825530880,0
200,1742931358564,2801,2801,2801,2801,2801,2801,2801,2801,46.87099838256836,0.7825927734375,100,0.5088424682617188,63.90486526489258,0.0754547119140625,4.276435852050781,0.11614990234375,14813.778930664063,158628.46844482422,132820.65753173828,1807.683349609375,17024311296,2550136832,7823089664,0
200,1742931358764,2801,2801,2801,2801,2801,2801,2801,2801,30.869094848632813,0.18978118896484375,100,1.2429885864257813,37.02994155883789,0.2014007568359375,7.4049835205078125,0.23879241943359375,14813.987182617188,158631.96826171875,132823.95874023438,1807.683349609375,17024311296,2550136832,7812644864,0
200,1742931358965,2801,2801,2801,2801,2801,2801,2801,2801,1.1077041625976563,1.7485809326171875,100,0.09357452392578125,0.41762542724609375,0.13889312744140625,1.6362075805664063,2.7383270263671875,14814.304138183594,158634.68780517578,132826.40979003906,1807.683349609375,17024311296,2550136832,7975022592,0
200,1742931359165,2801,2801,2801,2801,2801,2801,2801,2801,0.46215057373046875,0.5767135620117188,100,0.1945343017578125,0.5890274047851563,0.3948974609375,4.346244812011719,0.5975494384765625,14814.53662109375,158637.57458496094,132829.06671142578,1807.693603515625,17024311296,2550136832,7987625984,0
200,1742931359366,2801,2801,2801,2801,2801,2801,2801,2801,0,5.8887939453125,100,0,0,0,4.223625183105469,0,14814.910583496094,158640.39154052734,132831.58306884766,1807.693603515625,17024311296,2550136832,7975092224,0
200,1742931359567,2801,2801,2801,2801,2801,2801,2801,2801,4.1105194091796875,2.87139892578125,100,1.490936279296875,1.5779800415039063,1.1358261108398438,2.3735504150390625,1.2129974365234375,14815.124694824219,158643.1571044922,132834.1312866211,1807.693603515625,17024311296,2550136832,7824285696,0
200,1742931359767,2801,2801,2801,2801,2801,2801,2801,2801,6.475006103515625,0.438568115234375,100,0.09128570556640625,1.0491867065429688,0.20330810546875,4.906280517578125,0.650848388671875,14815.336853027344,158646.04473876953,132836.72369384766,1807.6983642578125,17024311296,2550136832,7820730368,0
200,1742931359968,2801,2801,2801,2801,2801,2801,2801,2801,0.7449722290039063,0.1697540283203125,100,0.09825897216796875,0.7955245971679688,0.07692718505859375,1.2068710327148438,2.6527481079101563,14815.548461914063,158648.8709716797,132839.28985595703,1807.6983642578125,17024311296,2550136832,7827021824,0
200,1742931360168,2801,2801,2801,2801,2801,2801,2801,2801,6.413360595703125,6.56103515625,44.072608947753906,1.1828842163085938,47.99208068847656,0.7683258056640625,74.65261840820313,17.84880828857422,14815.940002441406,158652.3602294922,132842.4686279297,1807.7025146484375,17024311296,2550136832,8026087424,0
200,1742931360368,2801,2801,2801,2801,2801,2801,2801,2801,4.651237487792969,2.6119308471679688,100,0.1255950927734375,3.1783218383789063,0.405364990234375,97.85060119628906,0.2868194580078125,14816.239624023438,158656.3232421875,132846.17449951172,1807.7025146484375,17024311296,2550136832,8038436864,0
