Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1742931798799,2801,2801,2801,2801,2801,2801,2801,2801,100,100,100,100,100,100,100,100,15183.142333984375,162835.5023803711,136630.57916259766,1826.4585571289063,17024311296,2550136832,8013434880,0
200,1742931798799,2801,2801,2801,2801,2801,2801,2801,2801,100,100,100,100,100,100,100,100,15183.150085449219,162835.58380126953,136630.64208984375,1826.4585571289063,17024311296,2550136832,8013447168,0
200,1742931799000,2801,2801,2801,2801,2801,2801,2801,2801,5.612937927246094,4.848480224609375,6.236396789550781,5.253181457519531,6.955818176269531,4.806243896484375,6.3291168212890625,4.948150634765625,15183.257507324219,162835.8646850586,136630.82818603516,1826.46875,17024311296,2550136832,8013275136,0
200,1742931799200,2801,2801,2801,2801,2801,2801,2801,2801,1.3525848388671875,3.3270721435546875,1.885589599609375,0.7435760498046875,0.8384017944335938,0.7318267822265625,0.823760986328125,0.8407974243164063,15183.36328125,162836.07397460938,136630.93823242188,1826.46875,17024311296,2550136832,8013275136,0
200,1742931799401,2801,2801,2801,2801,2801,2801,2801,2801,2.0484390258789063,0.50189208984375,1.4286956787109375,3.497039794921875,15.599006652832031,80.92985534667969,1.1131057739257813,0.17733001708984375,15183.488891601563,162838.94171142578,136633.53051757813,1826.5089111328125,17024311296,2550136832,8013275136,0
200,1742931799601,2801,2801,2801,2801,2801,2801,2801,2801,0.941741943359375,0.19597625732421875,3.8057174682617188,0.3189697265625,0.6708908081054688,100,0.24712371826171875,0.130615234375,15183.598266601563,162841.8975830078,136636.24291992188,1826.5089111328125,17024311296,2550136832,8013258752,0
200,1742931799802,2801,2801,2801,2801,2801,2801,2801,2801,0.43169403076171875,0.2811279296875,1.1787109375,0.1591339111328125,0.0584259033203125,100,2.6752471923828125,0.1075897216796875,15183.705078125,162844.83374023438,136638.95672607422,1826.5089111328125,17024311296,2550136832,8018284544,0
199,1742931800002,2801,2801,2801,2801,2801,2801,2801,2801,6.393730163574219,9.807937622070313,0.20340728759765625,10.119827270507813,0,100,14.189781188964844,0.1143646240234375,15184.0849609375,162847.89318847656,136641.68536376953,1826.5089111328125,17024311296,2550136832,7691243520,0
199,1742931800203,2801,2801,2801,2801,2801,2801,2801,2801,3.1712875366210938,0.5741500854492188,2.5763015747070313,40.615047454833984,52.39316940307617,7.233406066894531,4.219184875488281,93.50175476074219,15184.33447265625,162851.6820678711,136645.2056274414,1826.5170288085938,17024311296,2550136832,7687901184,0
200,1742931800403,2801,2801,2801,2801,2801,2801,2801,2801,2.6013641357421875,0.257598876953125,2.9563064575195313,17.419479370117188,33.31226348876953,0.8301620483398438,0.18963623046875,100,15184.64111328125,162854.46405029297,136647.7052001953,1826.5170288085938,17024311296,2550136832,7696199680,0
