Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1742936205310,2801,2801,2801,2801,2801,2801,2801,2801,100,100,100,100,100,100,100,100,18846.166076660156,206740.98236083984,176477.16650390625,2004.981689453125,17024311296,2550136832,8011239424,0
200,1742936205310,2801,2801,2801,2801,2801,2801,2801,2801,100,100,100,100,100,100,100,100,18846.17236328125,206741.04876708984,176477.2280883789,2004.981689453125,17024311296,2550136832,8011243520,0
199,1742936205511,2801,2801,2801,2801,2801,2801,2801,2801,5.837593078613281,7.859519958496094,6.1478729248046875,5.048789978027344,5.167869567871094,5.168060302734375,6.201698303222656,5.363273620605469,18846.28240966797,206741.35034179688,176477.40576171875,2004.99169921875,17024311296,2550136832,8011059200,0
200,1742936205711,2801,2801,2801,2801,2801,2801,2801,2801,0.4931793212890625,3.3629302978515625,4.3908233642578125,0.141845703125,1.6815872192382813,0.2885284423828125,0.8308868408203125,0.27080535888671875,18846.392211914063,206741.6593017578,176477.61529541016,2005.0065307617188,17024311296,2550136832,8011067392,0
200,1742936205912,2801,2801,2801,2801,2801,2801,2801,2801,2.2821044921875,1.00238037109375,66.99778747558594,0.6905364990234375,34.5057373046875,0.5894851684570313,5.227180480957031,2.0368194580078125,18846.54376220703,206744.45922851563,176480.1280517578,2005.0577392578125,17024311296,2550136832,8012095488,0
200,1742936206112,2801,2801,2801,2801,2801,2801,2801,2801,1.5432815551757813,1.107635498046875,1.4502105712890625,2.9895477294921875,99.91101837158203,0.2798614501953125,1.4120712280273438,0.247161865234375,18846.68829345703,206747.28717041016,176482.63146972656,2005.0970458984375,17024311296,2550136832,8013484032,0
200,1742936206313,2801,2801,2801,2801,2801,2801,2801,2801,1.4697341918945313,85.78881072998047,1.359375,0.852935791015625,14.853919982910156,0.243865966796875,3.6408538818359375,1.13934326171875,18847.136291503906,206749.9658203125,176484.8687133789,2005.1402587890625,17024311296,2550136832,8403292160,0
200,1742936206513,2801,2801,2801,2801,2801,2801,2801,2801,0.14318084716796875,7.238777160644531,1.2529373168945313,0.30291748046875,2.6151504516601563,0.15345001220703125,0.2083892822265625,93.18338775634766,18847.297485351563,206752.82690429688,176487.54614257813,2005.1402587890625,17024311296,2550136832,8403292160,0
200,1742936206714,2801,2801,2801,2801,2801,2801,2801,2801,0.7939300537109375,0.5000839233398438,3.7686233520507813,0.09711456298828125,0.14727020263671875,0.12872314453125,0.3251495361328125,100,18847.458740234375,206755.7396850586,176490.2294921875,2005.1402587890625,17024311296,2550136832,8402960384,0
199,1742936206914,2801,2801,2801,2801,2801,2801,2801,2801,5.0759735107421875,31.759254455566406,17.172393798828125,7.305824279785156,12.503761291503906,8.948677062988281,38.46835708618164,65.41561889648438,18847.650146484375,206759.23028564453,176493.49475097656,2005.1402587890625,17024311296,2550136832,8407212032,0
199,1742936207115,2801,2801,2801,2801,2801,2801,2801,2801,27.449729919433594,22.349098205566406,42.31501770019531,73.27093505859375,73.7764663696289,3.49053955078125,36.76032638549805,13.973159790039063,18847.99755859375,206763.5118408203,176497.47454833984,2005.1495361328125,17024311296,2550136832,7627169792,0
200,1742936207315,2801,2801,2801,2801,2801,2801,2801,2801,1.0686187744140625,1.6563491821289063,3.7037277221679688,100,69.58964538574219,0.7880935668945313,64.23187255859375,6.9525604248046875,18848.34375,206767.57165527344,176501.24645996094,2005.1495361328125,17024311296,2550136832,7320297472,0
200,1742936207515,2801,2801,2801,2801,2801,2801,2801,2801,0.38437652587890625,2.1396865844726563,0.144927978515625,100,3.72235107421875,0.2577972412109375,0.24114227294921875,0.1610260009765625,18848.510009765625,206770.40899658203,176503.89056396484,2005.1495361328125,17024311296,2550136832,7330717696,0
200,1742936207716,2801,2801,2801,2801,2801,2801,2801,2801,4.0870361328125,59.11128616333008,40.13077926635742,36.02793502807617,3.614715576171875,70.03606414794922,15.859260559082031,3.6811904907226563,18848.82147216797,206774.32696533203,176507.51025390625,2005.153564453125,17024311296,2550136832,6808248320,0
200,1742936207916,2801,2801,2801,2801,2801,2801,2801,2801,0.5314788818359375,2.0107955932617188,1.3836517333984375,3.19818115234375,0.122833251953125,100,0.20778656005859375,0.2032470703125,18848.986450195313,206777.15600585938,176510.16278076172,2005.153564453125,17024311296,2550136832,6834094080,0
200,1742936208117,2801,2801,2801,2801,2801,2801,2801,2801,0.27887725830078125,2.3523406982421875,4.1350555419921875,0,0.0440216064453125,100,0.41014862060546875,1.338714599609375,18849.159790039063,206780.07153320313,176512.82733154297,2005.1580810546875,17024311296,2550136832,6870839296,0
200,1742936208318,2801,2801,2801,2801,2801,2801,2801,2801,3.41790771484375,5.843955993652344,6.134407043457031,4.7988128662109375,5.7720184326171875,50.25532913208008,5.07281494140625,53.599945068359375,18849.325744628906,206783.0965576172,176515.60595703125,2005.1580810546875,17024311296,2550136832,6838665216,0
200,1742936208518,2801,2801,2801,2801,2801,2801,2801,2801,0.1888427734375,1.510711669921875,1.292999267578125,0.1765289306640625,3.67230224609375,0,0.031158447265625,99.9547348022461,18849.49755859375,206785.93115234375,176518.24896240234,2005.1580810546875,17024311296,2550136832,6901166080,0
200,1742936208719,2801,2801,2801,2801,2801,2801,2801,2801,0.9791259765625,3.504913330078125,3.7955093383789063,0.4390106201171875,0.4165802001953125,0.5115509033203125,1.155609130859375,100,18849.668334960938,206788.77966308594,176520.89190673828,2005.1621704101563,17024311296,2550136832,6857977856,0
200,1742936208919,2801,2801,2801,2801,2801,2801,2801,2801,0.7350006103515625,0.3255462646484375,1.1719741821289063,0.277740478515625,2.6912384033203125,0.4940032958984375,0.11725616455078125,100,18849.79425048828,206791.5216064453,176523.45318603516,2005.1621704101563,17024311296,2550136832,6857977856,0
200,1742936209120,2801,2801,2801,2801,2801,2801,2801,2801,0.20599365234375,0.313232421875,3.68603515625,0.12752532958984375,0.10923004150390625,0.1474151611328125,0.0007476806640625,100,18849.945556640625,206794.3057861328,176526.07763671875,2005.1621704101563,17024311296,2550136832,6922727424,0
200,1742936209320,2801,2801,2801,2801,2801,2801,2801,2801,1.3318557739257813,3.8311004638671875,3.7299423217773438,0.05169677734375,0.727569580078125,0.1496124267578125,0.06705474853515625,100,18850.140380859375,206797.1834716797,176528.72009277344,2005.1658935546875,17024311296,2550136832,6893105152,0
200,1742936209521,2801,2801,2801,2801,2801,2801,2801,2801,1.2525787353515625,3.1764450073242188,1.6237411499023438,0.23925018310546875,3.7031478881835938,0.16466522216796875,0.16481781005859375,100,18850.330505371094,206800.10321044922,176531.36950683594,2005.1658935546875,17024311296,2550136832,6979538944,0
200,1742936209722,2801,2801,2801,2801,2801,2801,2801,2801,0.7925796508789063,3.1774444580078125,4.415275573730469,0.290252685546875,0.358001708984375,0.40172576904296875,0.15594482421875,100,18850.519653320313,206803.01806640625,176534.0108642578,2005.1699829101563,17024311296,2550136832,7065513984,0
200,1742936209922,2801,2801,2801,2801,2801,2801,2801,2801,1.3103713989257813,3.6108551025390625,1.252044677734375,0.2753448486328125,3.2626190185546875,0.12164306640625,0.5272140502929688,100,18850.714721679688,206805.91571044922,176536.63208007813,2005.1699829101563,17024311296,2550136832,7148175360,0
200,1742936210123,2801,2801,2801,2801,2801,2801,2801,2801,0,4.527259826660156,1.2954940795898438,0,2.2237701416015625,0,0,100,18850.953247070313,206808.7235107422,176539.21899414063,2005.1699829101563,17024311296,2550136832,7189192704,0
200,1742936210323,2801,2801,2801,2801,2801,2801,2801,2801,1.3816070556640625,0.7358474731445313,5.1300811767578125,0.4878692626953125,0.636138916015625,0.7685012817382813,0.45735931396484375,100,18851.166442871094,206811.51818847656,176541.78649902344,2005.1741333007813,17024311296,2550136832,7301599232,0
