Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1742935455177,2801,2801,2801,2801,2801,2801,2801,2801,100,100,100,100,100,100,100,100,18220.40753173828,199244.48065185547,169676.30157470703,1975.306884765625,17024311296,2550136832,7176478720,0
200,1742935455177,2801,2801,2801,2801,2801,2801,2801,2801,100,100,100,100,100,100,100,100,18220.41473388672,199244.56286621094,169676.3858642578,1975.306884765625,17024311296,2550136832,7176105984,0
199,1742935455378,2801,2801,2801,2801,2801,2801,2801,2801,6.4336700439453125,5.308998107910156,6.280143737792969,5.1612091064453125,16.29485321044922,5.102836608886719,7.348976135253906,4.9822235107421875,18220.518493652344,199244.9991455078,169676.7332763672,1975.306884765625,17024311296,2550136832,7174955008,0
200,1742935455577,2801,2801,2801,2801,2801,2801,2801,2801,2.6105499267578125,0.8507080078125,5.432075500488281,0.30251312255859375,2.207366943359375,0.561126708984375,0.9666595458984375,0.6234512329101563,18220.634765625,199245.37841796875,169676.95581054688,1975.3247680664063,17024311296,2550136832,7176728576,0
200,1742935455778,2801,2801,2801,2801,2801,2801,2801,2801,3.3154144287109375,0.41158294677734375,98.43441772460938,0,3.2339096069335938,0,2.5469818115234375,0.5435943603515625,18220.840454101563,199248.2352294922,169679.44763183594,1975.4581298828125,17024311296,2550136832,7179436032,0
200,1742935455979,2801,2801,2801,2801,2801,2801,2801,2801,1.6883163452148438,1.4642715454101563,100,0.6540374755859375,1.9731826782226563,0.7611770629882813,3.2735824584960938,0.6181411743164063,18221.184020996094,199251.17712402344,169682.10083007813,1975.4581298828125,17024311296,2550136832,7256834048,0
200,1742935456179,2801,2801,2801,2801,2801,2801,2801,2801,0.6071243286132813,1.8567123413085938,100,3.0986251831054688,2.543853759765625,1.4316558837890625,0.22878265380859375,1.0420455932617188,18221.393432617188,199253.87469482422,169684.5965576172,1975.4581298828125,17024311296,2550136832,7181467648,0
200,1742935456380,2801,2801,2801,2801,2801,2801,2801,2801,0.4489898681640625,0.31258392333984375,100,0.28810882568359375,1.2828521728515625,0.1953277587890625,0.25081634521484375,2.6113739013671875,18221.57147216797,199256.55364990234,169687.0985107422,1975.4581298828125,17024311296,2550136832,7185399808,0
200,1742935456580,2801,2801,2801,2801,2801,2801,2801,2801,1.231292724609375,1.6896438598632813,100,0.31392669677734375,1.4127578735351563,0.9339141845703125,3.0882492065429688,0.641571044921875,18221.756408691406,199259.3026123047,169689.61895751953,1975.46826171875,17024311296,2550136832,7189278720,0
200,1742935456781,2801,2801,2801,2801,2801,2801,2801,2801,0.5278091430664063,1.479278564453125,99.97492218017578,0.10639190673828125,1.3301162719726563,0.13530731201171875,0.263427734375,2.5084762573242188,18222.090576171875,199262.0205078125,169691.98083496094,1975.46826171875,17024311296,2550136832,7219929088,0
200,1742935456982,2801,2801,2801,2801,2801,2801,2801,2801,3.335113525390625,0.25754547119140625,100,0.5216751098632813,1.3481674194335938,0.23416900634765625,0.24558258056640625,0.16780853271484375,18222.268676757813,199264.75219726563,169694.48291015625,1975.46826171875,17024311296,2550136832,7223861248,0
200,1742935457182,2801,2801,2801,2801,2801,2801,2801,2801,3.2128829956054688,0.4985809326171875,100,0.18256378173828125,1.4013748168945313,0.39862823486328125,0.32923126220703125,1.1766357421875,18222.4521484375,199267.48272705078,169696.9932861328,1975.4725952148438,17024311296,2550136832,7227777024,0
200,1742935457383,2801,2801,2801,2801,2801,2801,2801,2801,2.8378753662109375,1.541229248046875,100,0.08106231689453125,1.33319091796875,0.07169342041015625,0.18012237548828125,0.14801788330078125,18222.78436279297,199270.09783935547,169699.3526611328,1975.4725952148438,17024311296,2550136832,7258419200,0
200,1742935457583,2801,2801,2801,2801,2801,2801,2801,2801,1.3299102783203125,0.34369659423828125,100,3.0184707641601563,1.5035552978515625,0.3792877197265625,0.48831939697265625,0.19378662109375,18222.965209960938,199272.7899169922,169701.84466552734,1975.4749145507813,17024311296,2550136832,7262351360,0
200,1742935457784,2801,2801,2801,2801,2801,2801,2801,2801,3.9055938720703125,0.29708099365234375,100,0.6209259033203125,1.3548736572265625,0.24762725830078125,0.29787445068359375,0.47660064697265625,18223.148071289063,199275.52752685547,169704.3565673828,1975.4775390625,17024311296,2550136832,7266283520,0
