experiment_number,library,delta_package_energy_j,execution_time_s,energy_delay_product
19,plotnine,475.015380859375,34.9,16578.03679199219
19,holoviews,185.0174560546875,13.635,2522.713013305664
19,pygal,499.24517822265625,36.297,18121.102233947753
19,matplotlib,57.8216552734375,4.613,266.73129577636723
19,plotly,766.9893188476562,55.377,42473.567509826666
19,seaborn,233.453125,16.445,3839.136640625
1,pygal,523.9364013671875,36.7,19228.465930175782
1,plotnine,497.02197265625,35.299,17544.378612792967
1,holoviews,182.7091064453125,13.639,2491.969502807617
1,matplotlib,57.3812255859375,4.613,264.6995936279297
1,seaborn,218.69635009765625,16.047,3509.42033001709
1,plotly,796.5108642578125,57.17,45536.52610961914
20,matplotlib,56.208984375,4.605,258.842373046875
20,seaborn,218.36688232421875,16.24,3546.2781689453122
20,holoviews,180.32354736328125,13.637,2459.0722153930665
20,pygal,510.0401611328125,36.862,18801.100419677736
20,plotly,791.3244018554688,57.565,45552.589192810054
20,plotnine,492.48272705078125,34.895,17185.184760437012
21,matplotlib,56.3218994140625,4.612,259.75660009765625
21,plotly,770.5411376953125,56.391,43451.58529577636
21,seaborn,219.69354248046875,16.231,3565.8458880004887
21,plotnine,510.831298828125,35.28,18022.12822265625
21,holoviews,180.26092529296875,13.631,2457.136672668457
21,pygal,516.39892578125,36.873,19041.17759033203
22,plotnine,473.4635009765625,35.099,16618.095420776364
22,seaborn,223.1046142578125,16.246,3624.5575632324217
22,holoviews,182.88427734375,13.637,2493.992890136719
22,matplotlib,56.92144775390625,4.605,262.1232669067383
22,plotly,767.9500122070312,55.819,42866.20173138428
22,pygal,520.6522216796875,36.869,19195.9267611084
23,holoviews,177.00592041015625,13.638,2414.006742553711
23,pygal,503.96466064453125,36.699,18494.99908099365
23,plotly,769.2154541015625,56.036,43103.75718603516
23,seaborn,223.10174560546875,16.23,3620.941331176758
23,matplotlib,61.77386474609375,4.81,297.1322894287109
23,plotnine,491.5516357421875,35.069,17238.224313842773
24,matplotlib,56.51025390625,4.61,260.5122705078125
24,holoviews,176.89898681640625,13.612,2407.949008544922
24,seaborn,223.531982421875,16.247,3631.724118408203
24,pygal,511.7099609375,37.303,19088.31667285156
24,plotly,769.8052978515625,55.612,42810.41222412109
24,plotnine,388.4678955078125,27.477,10673.932364868164
25,plotnine,477.54718017578125,34.896,16664.48639941406
25,holoviews,179.7265625,13.439,2415.3452734375
25,seaborn,227.18487548828125,16.246,3690.845487182617
25,pygal,515.171630859375,37.094,19109.776475097657
25,matplotlib,57.421630859375,4.613,264.8859831542969
25,plotly,791.9683227539062,57.206,45305.33987145996
26,plotnine,478.51239013671875,35.071,16781.908034484863
26,plotly,755.16943359375,56.001,42290.24345068359
26,pygal,515.446533203125,36.475,18800.912298583986
26,seaborn,227.86865234375,16.229,3698.0803588867184
26,holoviews,187.35565185546875,13.837,2592.440154724121
26,matplotlib,57.565673828125,4.61,265.37775634765626
27,plotly,766.00048828125,55.83,42765.807260742185
27,matplotlib,61.1893310546875,4.612,282.2051948242188
27,plotnine,493.8431396484375,34.896,17233.150201171877
27,seaborn,221.72515869140625,16.246,3602.1469281005857
27,pygal,510.28753662109375,36.7,18727.552593994144
27,holoviews,180.2998046875,13.638,2458.928736328125
28,holoviews,175.56719970703125,13.637,2394.209902404785
28,pygal,509.90692138671875,36.902,18816.585213012695
28,plotly,785.5042114257812,55.775,43811.49739227295
28,seaborn,225.1533203125,16.446,3702.8715058593752
28,matplotlib,57.83856201171875,4.613,266.80928656005864
28,plotnine,493.964599609375,34.898,17238.37659716797
29,holoviews,176.8046875,13.638,2411.262328125
29,pygal,510.66937255859375,36.903,18845.231855529786
29,plotly,765.9551391601562,55.838,42769.403060424804
29,seaborn,221.97808837890625,16.236,3604.036242919922
29,plotnine,493.08172607421875,35.255,17383.59625274658
29,matplotlib,57.38671875,4.613,264.72493359375005
2,pygal,523.5584106445312,36.897,19317.734677551267
2,plotly,792.6936645507812,57.801,45818.48650469971
2,plotnine,488.9549560546875,34.892,17060.616326660158
2,holoviews,118.72515869140625,7.832,929.8554428710937
2,seaborn,218.77734375,16.046,3510.5012578124997
2,matplotlib,59.36767578125,4.811,285.6178881835937
30,holoviews,175.6160888671875,13.638,2395.052219970703
30,plotly,763.3125610351562,55.776,42574.52140429688
30,pygal,520.05322265625,36.87,19174.362319335934
30,plotnine,481.38787841796875,34.659,16684.422478088378
30,seaborn,227.1287841796875,16.228,3685.845909667969
30,matplotlib,58.4248046875,4.613,269.5136240234375
3,holoviews,177.4227294921875,13.635,2419.1589166259764
3,plotly,760.8773193359375,55.817,42469.88933337403
3,pygal,521.7412719726562,37.07,19340.948952026367
3,plotnine,479.9898681640625,34.684,16647.96858740234
3,matplotlib,57.52728271484375,4.612,265.3158278808594
3,seaborn,224.3431396484375,16.237,3642.6595584716792
4,matplotlib,57.412841796875,4.612,264.7880263671875
4,seaborn,213.7462158203125,16.047,3429.9855252685547
4,plotly,755.5599975585938,55.978,42294.73754333496
4,holoviews,181.0177001953125,13.634,2467.9953244628905
4,plotnine,389.8702392578125,27.657,10782.64120715332
4,pygal,524.175537109375,36.878,19330.545457519533
5,plotnine,470.01214599609375,34.701,16309.89147821045
5,plotly,787.4456176757812,57.421,45215.91481256104
5,pygal,510.87261962890625,36.499,18646.33974383545
5,seaborn,216.80474853515625,16.046,3478.848994995117
5,holoviews,239.18377685546875,14.236,3405.020247314453
5,matplotlib,57.2952880859375,4.613,264.3031639404297
6,plotly,757.7677001953125,56.399,42737.34052331543
6,matplotlib,60.20037841796875,4.814,289.8046217041016
6,pygal,513.3214721679688,37.103,19045.766581848144
6,plotnine,487.14239501953125,34.899,17000.782443786622
6,seaborn,221.616455078125,16.245,3600.159312744141
6,holoviews,193.09857177734375,13.836,2671.711839111328
7,seaborn,214.82879638671875,16.045,3446.928038024903
7,plotnine,487.55572509765625,35.098,17112.23083947754
7,holoviews,178.86151123046875,13.638,2439.313290161133
7,pygal,510.3721923828125,36.698,18729.63871606445
7,plotly,761.4334106445312,55.359,42152.19217987061
7,matplotlib,60.986083984375,4.811,293.40405004882814
8,matplotlib,56.12347412109375,4.609,258.6730922241211
8,pygal,498.30914306640625,36.451,18163.866573913576
8,plotly,770.8667602539062,55.815,43025.92822357178
8,seaborn,231.29693603515625,16.619,3843.9237799682614
8,plotnine,491.453369140625,35.258,17327.662889160158
8,holoviews,186.52386474609375,13.612,2538.9628469238282
9,seaborn,216.4129638671875,16.246,3515.845010986328
9,pygal,504.75299072265625,36.503,18424.998420349122
9,plotnine,478.70111083984375,34.897,16705.232664978026
9,plotly,777.9688720703125,55.82,43426.22243896485
9,matplotlib,62.48980712890625,4.813,300.76344171142574
9,holoviews,186.7364501953125,13.636,2546.3382348632813
